(45/45)
294.0,124.0,4.71238906780747
294.0,122.0,4.71238906780747
294.0,113.0,4.71238906780747
295.0,103.0,4.71238906780747
295.0,100.0,4.71238906780747
295.0,92.0,4.71238906780747
295.0,90.0,4.71238906780747
295.0,87.0,4.71238906780747
296.0,75.0,4.71238906780747
296.0,74.0,4.71238906780747
296.0,72.0,4.71238906780747
298.0,67.0,4.71238906780747
299.0,64.0,4.71238906780747
301.0,61.0,4.71238906780747
302.0,60.0,4.71238906780747
305.0,57.0,4.71238906780747
307.0,55.0,4.71238906780747
313.0,50.0,4.71238906780747
328.0,49.0,4.71238906780747
331.0,49.0,4.71238906780747
336.0,49.0,4.71238906780747
349.0,54.0,4.71238906780747
353.0,55.0,4.71238906780747
371.0,65.0,4.71238906780747
376.0,79.0,4.71238906780747
371.0,86.0,4.71238906780747
362.0,92.0,4.71238906780747
338.0,96.0,4.71238906780747
334.0,97.0,4.71238906780747
334.0,98.0,4.71238906780747
334.0,99.0,4.71238906780747
337.0,100.0,4.71238906780747
338.0,102.0,4.71238906780747
340.0,103.0,4.71238906780747
345.0,107.0,4.71238906780747
348.0,108.0,4.71238906780747
349.0,109.0,4.71238906780747
351.0,110.0,4.71238906780747
358.0,116.0,4.71238906780747
358.0,117.0,4.71238906780747
362.0,120.0,4.71238906780747
363.0,120.0,4.71238906780747
364.0,122.0,4.71238906780747
365.0,123.0,4.71238906780747
366.0,124.0,4.71238906780747
