(11,0),(64,0),(64,39),(11,39)
(12,53),(66,53),(66,226),(12,226)
(7,240),(68,240),(68,395),(7,395)
(11,428),(76,428),(76,494),(11,494)
(89,428),(200,428),(200,498),(89,498)
(220,427),(350,427),(350,496),(220,496)
(356,428),(487,428),(487,497),(356,497)
(504,436),(527,436),(527,497),(504,497)
(540,441),(690,441),(690,498),(540,498)
(711,441),(891,441),(891,498),(711,498)
(896,437),(996,437),(996,497),(896,497)
(995,465),(1058,465),(1058,499),(995,499)
(1079,462),(1243,462),(1243,500),(1079,500)
(1240,461),(1422,461),(1422,499),(1240,499)
(1421,359),(1493,359),(1493,499),(1421,499)
(1421,163),(1493,163),(1493,363),(1421,363)
(1424,0),(1496,0),(1496,153),(1424,153)
