373,266
381,274
389,281
399,282
407,290
415,298
423,305
433,309
443,314
453,318
463,323
472,329
482,332
483,332
483,332
473,329
463,329
453,329
445,321
437,313
428,308
420,302
413,294
409,284
409,274
409,264
409,254
409,244
409,234
409,224
409,214
409,204
409,194
409,184
412,174
416,164
420,156
420,156
410,156
400,156
390,156
380,156
370,156
360,156
350,156
340,156
330,153
320,152
310,152
300,152
290,152
280,152
270,152
260,152
250,152
240,153
230,156
222,163
216,172
214,182
214,192
214,202
214,212
214,222
211,232
207,242
202,252
