406,151
330,181
330,181
466,145
466,145
458,151
448,151
438,151
430,157
422,165
414,172
406,178
400,186
397,196
397,206
397,216
397,226
397,236
397,246
397,256
397,266
397,276
397,286
397,296
401,306
408,314
417,320
427,321
437,322
447,322
457,322
467,322
477,322
487,322
497,322
507,322
517,325
518,326
518,326
508,325
498,325
488,325
478,322
468,322
458,322
448,322
438,322
428,322
418,320
409,315
401,307
398,297
397,287
397,277
397,267
397,257
397,247
397,237
397,227
397,217
397,207
397,197
400,187
406,178
414,172
424,169
434,168
444,168
454,168
464,168
474,168
484,168
494,168
504,168
504,168
494,168
484,168
474,168
464,168
454,168
444,168
434,168
424,169
414,172
406,178
398,186
390,194
382,202
374,210
366,218
358,226
350,234
342,242
334,248
324,252
314,257
304,261
294,266
284,270
274,275
264,279
255,284
245,288
235,293
225,297
215,302
205,306
195,311
185,315
175,320
175,320
219,138
219,138
227,146
235,154
243,162
251,170
259,178
267,186
275,194
283,202
291,210
299,218
307,226
315,234
323,242
331,250
339,258
347,266
356,271
366,275
375,281
383,289
391,297
399,305
407,313
415,319
425,321
435,322
445,322
455,322
465,322
475,325
485,330
495,334
505,339
515,343
521,346
