843,51
833,54
823,54
813,54
805,62
797,70
789,77
781,85
773,93
765,100
755,100
745,100
735,100
725,100
715,100
705,100
695,100
685,100
675,100
665,100
655,100
645,100
635,100
625,100
615,100
605,100
595,100
585,101
575,102
565,105
556,111
548,118
542,127
538,137
536,147
536,157
536,167
531,177
527,187
522,197
518,207
513,217
509,227
504,237
500,247
495,257
495,257
505,259
515,260
525,265
533,273
541,281
549,289
557,296
566,301
576,304
586,305
596,306
606,306
616,306
626,306
636,306
646,306
656,306
666,305
676,303
686,299
694,293
702,285
710,277
718,269
726,261
734,253
742,245
750,237
754,227
758,219
